post_id,date,platform,content_type,likes,comments,shares,followers_gained,engagement_rate,post_hour
P001,2026-08-01,Instagram,Photo,1250,45,120,15,3.2,10
P002,2026-08-01,TikTok,Video,5600,320,890,45,8.7,19
P003,2026-08-01,LinkedIn,Article,340,28,65,8,2.1,09
P004,2026-08-02,Instagram,Reel,2100,89,340,22,4.5,18
P005,2026-08-02,TikTok,Video,8900,510,1200,78,12.3,20
P006,2026-08-02,LinkedIn,Post,290,15,42,5,1.8,08
P007,2026-08-03,Instagram,Photo,890,32,98,10,2.8,11
P008,2026-08-03,TikTok,Video,12400,750,2100,102,15.6,21
P009,2026-08-03,LinkedIn,Article,520,41,95,12,3.2,10
P010,2026-08-04,Instagram,Reel,3400,145,520,35,6.2,20
P011,2026-08-04,TikTok,Video,7800,420,980,65,11.2,19
P012,2026-08-04,LinkedIn,Post,410,22,58,7,2.4,09
P013,2026-08-05,Instagram,Photo,1100,48,140,18,3.5,12
P014,2026-08-05,TikTok,Video,9500,580,1400,88,13.8,22
P015,2026-08-05,LinkedIn,Article,380,30,72,9,2.9,11
P016,2026-08-06,Instagram,Reel,2900,120,420,28,5.8,19
P017,2026-08-06,TikTok,Video,11200,680,1600,95,14.2,20
P018,2026-08-06,LinkedIn,Post,320,18,45,6,2.0,08
P019,2026-08-07,Instagram,Photo,950,38,110,14,3.1,10
P020,2026-08-07,TikTok,Video,8700,490,1100,72,12.1,21
P021,2026-08-07,LinkedIn,Article,450,35,80,10,3.3,10
P022,2026-08-08,Instagram,Reel,3200,135,480,32,6.1,20
P023,2026-08-08,TikTok,Video,10100,620,1350,85,13.5,19
P024,2026-08-08,LinkedIn,Post,370,25,60,8,2.7,09
P025,2026-08-09,Instagram,Photo,1300,52,160,20,3.8,11
P026,2026-08-09,TikTok,Video,9200,540,1250,78,13.0,22
P027,2026-08-09,LinkedIn,Article,410,32,75,9,3.0,10
P028,2026-08-10,Instagram,Reel,2800,110,390,25,5.3,18
P029,2026-08-10,TikTok,Video,7900,450,950,68,11.3,20
P030,2026-08-10,LinkedIn,Post,380,20,55,7,2.3,08
